NAME                              VERSION      TYPE        
alpine-baselayout                 3.7.0-r0     apk          
alpine-baselayout-data            3.7.0-r0     apk          
alpine-keys                       2.5-r0       apk          
alpine-release                    3.22.1-r0    apk          
apk-tools                         2.14.9-r2    apk          
busybox                           1.37.0-r18   apk          
busybox-binsh                     1.37.0-r18   apk          
ca-certificates                   20250619-r0  apk          
ca-certificates-bundle            20250619-r0  apk          
cs-bouncer                        (devel)      go-module    
docker-cli                        28.3.0-r0    apk          
github.com/docker/cli/cmd/docker  v28.3.0      go-module    
iptables                          1.8.11-r1    apk          
libapk2                           2.14.9-r2    apk          
libcrypto3                        3.5.1-r0     apk          
libmnl                            1.0.5-r2     apk          
libnftnl                          1.2.9-r0     apk          
libssl3                           3.5.1-r0     apk          
libxtables                        1.8.11-r1    apk          
musl                              1.2.5-r10    apk          
musl-utils                        1.2.5-r10    apk          
scanelf                           1.3.8-r1     apk          
ssl_client                        1.37.0-r18   apk          
stdlib                            go1.24.4     go-module    
stdlib                            go1.24.5     go-module    
zlib                              1.3.1-r2     apk
